id_auditeur,v_1,v_2,v_3,v_4,v_5,v_6,assignation,voeu_realise
243,BOULOGNE-SUR-MER,DUNKERQUE,REIMS,CAEN,COUTANCES,LAON,BOULOGNE-SUR-MER,1
244,ARRAS,DUNKERQUE,VALENCIENNES,MULHOUSE,BOULOGNE-SUR-MER,LIMOGES,VALENCIENNES,3
245,ANNECY,NIMES,LYON,NARBONNE,CLERMONT-FERRAND,PERPIGNAN,ANNECY,1
246,ANGERS,LE MANS,TOURS,POITIERS,LES SABLES-D'OLONNE,SAINT-NAZAIRE,LE MANS,2
247,PARIS,LILLE,STRASBOURG,TOULOUSE,SAINT-NAZAIRE,BOULOGNE-SUR-MER,PARIS,1
248,REIMS,PAU,NANCY,GRENOBLE,CLERMONT-FERRAND,PERPIGNAN,PAU,2
249,TOULON,GRASSE,DRAGUIGNAN,NARBONNE,PERPIGNAN,PAU,GRASSE,2
250,MEAUX,NANTERRE,EVRY,PONTOISE,BEAUVAIS,SENLIS,MEAUX,1
251,STRASBOURG,MULHOUSE,DIJON,LYON,BEAUVAIS,VESOUL,MULHOUSE,2
252,PONTOISE,VERSAILLES,BOBIGNY,EVRY,SENLIS,BEAUVAIS,PONTOISE,1
253,STRASBOURG,NICE,TOULON,TROYES,SAINT-NAZAIRE,PAU,TROYES,4
254,AJACCIO,TOULON,BASTIA,MARSEILLE,PAU,DIGNE-LES-BAINS,AJACCIO,1
255,ANGERS,TOURS,ROUEN,BREST,SAINT-NAZAIRE,BOULOGNE-SUR-MER,ANGERS,1
256,LE HAVRE,TOURS,CAEN,BETHUNE,BOULOGNE-SUR-MER,BEAUVAIS,BETHUNE,4
257,ORLEANS,LE HAVRE,AMIENS,POITIERS,BOULOGNE-SUR-MER,NANCY,ORLEANS,1
258,MARSEILLE,BAYONNE,AIX-EN-PROVENCE,TOULON,PERPIGNAN,PAU,BAYONNE,2
259,BASTIA,BAYONNE,TOULON,GRASSE,LES SABLES-D'OLONNE,CASTRES,LES SABLES-D'OLONNE,5
260,PONTOISE,NANTERRE,ANGOULEME,COMPIEGNE,NANCY,METZ,PONTOISE,1
261,TOURS,ANGERS,TOULON,TROYES,PAU,NANCY,TOURS,1
262,BESANCON,MONTBELIARD,BELFORT,COLMAR,LONS-LE-SAUNIER,NANCY,MONTBELIARD,2
263,PARIS,BOBIGNY,SAVERNE,ALBERTVILLE,CLERMONT-FERRAND,PAU,ALBERTVILLE,4
264,MEAUX,LILLE,REIMS,TOULON,NANCY,METZ,LILLE,2
265,ANGERS,CHARTRES,LE MANS,LA ROCHE-SUR-YON,SAINT-NAZAIRE,SAINT-BRIEUC,SAINT-BRIEUC,6
266,MARSEILLE,LA ROCHELLE,RENNES,LILLE,SAINT-NAZAIRE,LES SABLES-D'OLONNE,LA ROCHELLE,2
267,LILLE,NANTERRE,PONTOISE,STRASBOURG,CLERMONT-FERRAND,NANCY,LILLE,1
268,CHAMBERY,MONTAUBAN,PERPIGNAN,GRENOBLE,GAP,DIGNE-LES-BAINS,CHAMBERY,1
269,LORIENT,QUIMPER,RENNES,SAINT-NAZAIRE,LE MANS,COUTANCES,QUIMPER,2
270,BLOIS,ANGERS,LE MANS,ROUEN,NANCY,METZ,BLOIS,1
271,REIMS,AMIENS,ROUEN,PONTOISE,NANCY,METZ,AMIENS,2
272,BASTIA,AJACCIO,PERIGUEUX,MONT-DE-MARSAN,AUCH,DIGNE-LES-BAINS,PERIGUEUX,3
273,REIMS,STRASBOURG,LILLE,NANCY,METZ,ROUEN,REIMS,1
274,TOULON,NICE,NIMES,DRAGUIGNAN,PERPIGNAN,CLERMONT-FERRAND,TOULON,1
275,REIMS,AMIENS,CHALONS-EN-CHAMPAGNE,TROYES,SOISSONS,LAON,SOISSONS,5
276,TOULON,NICE,NIMES,TOULOUSE,SAINT-NAZAIRE,NANCY,NICE,2
277,MARSEILLE,PARIS,AIX-EN-PROVENCE,LYON,SAINT-NAZAIRE,PERPIGNAN,MARSEILLE,1
278,LYON,MARSEILLE,NANTERRE,SAINT-ETIENNE,CLERMONT-FERRAND,SAINT-NAZAIRE,LYON,1
279,REIMS,BAYONNE,CHALONS-EN-CHAMPAGNE,LE MANS,LES SABLES-D'OLONNE,CHATEAUROUX,CHATEAUROUX,6
280,NANTERRE,CRETEIL,EVRY,LILLE,BEAUVAIS,NANCY,NANTERRE,1
281,EVRY,BOBIGNY,NANTERRE,PONTOISE,SENLIS,SOISSONS,EVRY,1
282,VILLEFRANCHE-SUR-SAONE,NARBONNE,VIENNE,CLERMONT-FERRAND,BEZIERS,LE PUY-EN-VELAY,VILLEFRANCHE-SUR-SAONE,1
283,MARSEILLE,LILLE,LYON,TOULOUSE,NANCY,BOULOGNE-SUR-MER,LYON,3
284,GRENOBLE,ANGERS,NANCY,DUNKERQUE,BOURGES,CLERMONT-FERRAND,NANCY,3
285,LILLE,PONTOISE,LYON,MARSEILLE,METZ,NANCY,LILLE,1
286,STRASBOURG,CLERMONT-FERRAND,COLMAR,BOURGES,LE PUY-EN-VELAY,LE HAVRE,CLERMONT-FERRAND,2
287,BOBIGNY,MEAUX,PONTOISE,LILLE,SENLIS,BOULOGNE-SUR-MER,BOBIGNY,1
288,BESANCON,COLMAR,LONS-LE-SAUNIER,METZ,THONON-LES-BAINS,PERPIGNAN,METZ,4
289,LYON,GRENOBLE,MARSEILLE,NICE,CLERMONT-FERRAND,NANCY,GRENOBLE,2
290,REIMS,ARRAS,METZ,BETHUNE,NANCY,BOULOGNE-SUR-MER,METZ,3
291,CRETEIL,NANTERRE,PONTOISE,EVRY,BEAUVAIS,SENLIS,CRETEIL,1
292,RENNES,ANGERS,BREST,SAINT-NAZAIRE,LES SABLES-D'OLONNE,TROYES,SAINT-NAZAIRE,4
293,ROUEN,CHARTRES,ORLEANS,TROYES,AUXERRE,PAU,CHARTRES,2
294,LILLE,SAINT-OMER,BOULOGNE-SUR-MER,DOUAI,ARRAS,METZ,SAINT-OMER,2
295,SAINT-MALO,RENNES,ROUEN,TOULON,BOULOGNE-SUR-MER,SAINT-NAZAIRE,SAINT-MALO,1
296,LA ROCHE-SUR-YON,AVIGNON,LA ROCHELLE,QUIMPER,BOULOGNE-SUR-MER,SAINT-NAZAIRE,LA ROCHE-SUR-YON,1
297,VERSAILLES,ORLEANS,ROUEN,SAINT-ETIENNE,BEAUVAIS,CLERMONT-FERRAND,ROUEN,3
298,AVIGNON,ANGERS,ROUEN,LE HAVRE,BOULOGNE-SUR-MER,NANCY,BOULOGNE-SUR-MER,5
299,LYON,BOURG-EN-BRESSE,VALENCE,PARIS,NANCY,CLERMONT-FERRAND,BOURG-EN-BRESSE,2
300,TOULOUSE,MONTPELLIER,AVIGNON,CLERMONT-FERRAND,LE HAVRE,NANCY,MONTPELLIER,2
301,MARSEILLE,LILLE,AIX-EN-PROVENCE,AVIGNON,BOULOGNE-SUR-MER,COUTANCES,BOULOGNE-SUR-MER,5
302,TOURS,ORLEANS,POITIERS,LIMOGES,PAU,TOULOUSE,LIMOGES,4
303,DUNKERQUE,CAEN,STRASBOURG,NANCY,ROUEN,BOULOGNE-SUR-MER,DUNKERQUE,1
