Identifiant,Ville obtenue,Rang du voeu satisfait,Voeu 1,Voeu 2,Voeu 3,Voeu 4,Voeu 5,Voeu 6
241,ANGOULEME,1,ANGOULEME,POITIERS,TOULOUSE,SAINTES,PAU,NIORT
242,GRENOBLE,1,GRENOBLE,BOURGOIN-JALLIEU,MARSEILLE,TOULON,LIMOGES,METZ
243,BOULOGNE-SUR-MER,1,BOULOGNE-SUR-MER,DUNKERQUE,REIMS,CAEN,COUTANCES,LAON
244,VALENCIENNES,3,ARRAS,DUNKERQUE,VALENCIENNES,MULHOUSE,BOULOGNE-SUR-MER,LIMOGES
245,ANNECY,1,ANNECY,NIMES,LYON,NARBONNE,CLERMONT-FERRAND,PERPIGNAN
246,LE MANS,2,ANGERS,LE MANS,TOURS,POITIERS,'LES SABLES-D''OLONNE',SAINT-NAZAIRE
247,PARIS,1,PARIS,LILLE,STRASBOURG,TOULOUSE,SAINT-NAZAIRE,BOULOGNE-SUR-MER
248,PAU,2,REIMS,PAU,NANCY,GRENOBLE,CLERMONT-FERRAND,PERPIGNAN
249,GRASSE,2,TOULON,GRASSE,DRAGUIGNAN,NARBONNE,PERPIGNAN,PAU
250,MEAUX,1,MEAUX,NANTERRE,EVRY,PONTOISE,BEAUVAIS,SENLIS
251,MULHOUSE,2,STRASBOURG,MULHOUSE,DIJON,LYON,BEAUVAIS,VESOUL
252,PONTOISE,1,PONTOISE,VERSAILLES,BOBIGNY,EVRY,SENLIS,BEAUVAIS
253,TROYES,4,STRASBOURG,NICE,TOULON,TROYES,SAINT-NAZAIRE,PAU
254,AJACCIO,1,AJACCIO,TOULON,BASTIA,MARSEILLE,PAU,DIGNE-LES-BAINS
255,ANGERS,1,ANGERS,TOURS,ROUEN,BREST,SAINT-NAZAIRE,BOULOGNE-SUR-MER
256,LE HAVRE,1,LE HAVRE,TOURS,CAEN,BETHUNE,BOULOGNE-SUR-MER,BEAUVAIS
257,ORLEANS,1,ORLEANS,LE HAVRE,AMIENS,POITIERS,BOULOGNE-SUR-MER,NANCY
258,BAYONNE,2,MARSEILLE,BAYONNE,AIX-EN-PROVENCE,TOULON,PERPIGNAN,PAU
259,CASTRES,6,BASTIA,BAYONNE,TOULON,GRASSE,'LES SABLES-D''OLONNE',CASTRES
260,PONTOISE,1,PONTOISE,NANTERRE,ANGOULEME,COMPIEGNE,NANCY,METZ
261,TROYES,4,TOURS,ANGERS,TOULON,TROYES,PAU,NANCY
262,MONTBELIARD,2,BESANCON,MONTBELIARD,BELFORT,COLMAR,LONS-LE-SAUNIER,NANCY
263,ALBERTVILLE,4,PARIS,BOBIGNY,SAVERNE,ALBERTVILLE,CLERMONT-FERRAND,PAU
264,MEAUX,1,MEAUX,LILLE,REIMS,TOULON,NANCY,METZ
265,SAINT-BRIEUC,6,ANGERS,CHARTRES,LE MANS,LA ROCHE-SUR-YON,SAINT-NAZAIRE,SAINT-BRIEUC
266,MARSEILLE,1,MARSEILLE,LA ROCHELLE,RENNES,LILLE,SAINT-NAZAIRE,'LES SABLES-D''OLONNE'
267,LILLE,1,LILLE,NANTERRE,PONTOISE,STRASBOURG,CLERMONT-FERRAND,NANCY
268,CHAMBERY,1,CHAMBERY,MONTAUBAN,PERPIGNAN,GRENOBLE,GAP,DIGNE-LES-BAINS
269,QUIMPER,2,LORIENT,QUIMPER,RENNES,SAINT-NAZAIRE,LE MANS,COUTANCES
270,BLOIS,1,BLOIS,ANGERS,LE MANS,ROUEN,NANCY,METZ
271,AMIENS,2,REIMS,AMIENS,ROUEN,PONTOISE,NANCY,METZ
272,BASTIA,1,BASTIA,AJACCIO,PERIGUEUX,MONT-DE-MARSAN,AUCH,DIGNE-LES-BAINS
273,REIMS,1,REIMS,STRASBOURG,LILLE,NANCY,METZ,ROUEN
274,TOULON,1,TOULON,NICE,NIMES,DRAGUIGNAN,PERPIGNAN,CLERMONT-FERRAND
275,CHALONS-EN-CHAMPAGNE,3,REIMS,AMIENS,CHALONS-EN-CHAMPAGNE,TROYES,SOISSONS,LAON
276,NICE,2,TOULON,NICE,NIMES,TOULOUSE,SAINT-NAZAIRE,NANCY
277,MARSEILLE,1,MARSEILLE,PARIS,AIX-EN-PROVENCE,LYON,SAINT-NAZAIRE,PERPIGNAN
278,LYON,1,LYON,MARSEILLE,NANTERRE,SAINT-ETIENNE,CLERMONT-FERRAND,SAINT-NAZAIRE
279,CHATEAUROUX,6,REIMS,BAYONNE,CHALONS-EN-CHAMPAGNE,LE MANS,'LES SABLES-D''OLONNE',CHATEAUROUX
280,EVRY,3,NANTERRE,CRETEIL,EVRY,LILLE,BEAUVAIS,NANCY
281,EVRY,1,EVRY,BOBIGNY,NANTERRE,PONTOISE,SENLIS,SOISSONS
282,VILLEFRANCHE-SUR-SAONE,1,VILLEFRANCHE-SUR-SAONE,NARBONNE,VIENNE,CLERMONT-FERRAND,BEZIERS,LE PUY-EN-VELAY
283,NANCY,5,MARSEILLE,LILLE,LYON,TOULOUSE,NANCY,BOULOGNE-SUR-MER
284,GRENOBLE,1,GRENOBLE,ANGERS,NANCY,DUNKERQUE,BOURGES,CLERMONT-FERRAND
285,LILLE,1,LILLE,PONTOISE,LYON,MARSEILLE,METZ,NANCY
286,CLERMONT-FERRAND,2,STRASBOURG,CLERMONT-FERRAND,COLMAR,BOURGES,LE PUY-EN-VELAY,LE HAVRE
287,BOBIGNY,1,BOBIGNY,MEAUX,PONTOISE,LILLE,SENLIS,BOULOGNE-SUR-MER
288,LONS-LE-SAUNIER,3,BESANCON,COLMAR,LONS-LE-SAUNIER,METZ,THONON-LES-BAINS,PERPIGNAN
289,LYON,1,LYON,GRENOBLE,MARSEILLE,NICE,CLERMONT-FERRAND,NANCY
290,METZ,3,REIMS,ARRAS,METZ,BETHUNE,NANCY,BOULOGNE-SUR-MER
291,BEAUVAIS,5,CRETEIL,NANTERRE,PONTOISE,EVRY,BEAUVAIS,SENLIS
292,'LES SABLES-D''OLONNE',5,RENNES,ANGERS,BREST,SAINT-NAZAIRE,'LES SABLES-D''OLONNE',TROYES
293,ROUEN,1,ROUEN,CHARTRES,ORLEANS,TROYES,AUXERRE,PAU
294,SAINT-OMER,2,LILLE,SAINT-OMER,BOULOGNE-SUR-MER,DOUAI,ARRAS,METZ
295,SAINT-MALO,1,SAINT-MALO,RENNES,ROUEN,TOULON,BOULOGNE-SUR-MER,SAINT-NAZAIRE
296,LA ROCHE-SUR-YON,1,LA ROCHE-SUR-YON,AVIGNON,LA ROCHELLE,QUIMPER,BOULOGNE-SUR-MER,SAINT-NAZAIRE
297,ORLEANS,2,VERSAILLES,ORLEANS,ROUEN,SAINT-ETIENNE,BEAUVAIS,CLERMONT-FERRAND
298,BOULOGNE-SUR-MER,5,AVIGNON,ANGERS,ROUEN,LE HAVRE,BOULOGNE-SUR-MER,NANCY
299,LYON,1,LYON,BOURG-EN-BRESSE,VALENCE,PARIS,NANCY,CLERMONT-FERRAND
300,TOULOUSE,1,TOULOUSE,MONTPELLIER,AVIGNON,CLERMONT-FERRAND,LE HAVRE,NANCY
301,BOULOGNE-SUR-MER,5,MARSEILLE,LILLE,AIX-EN-PROVENCE,AVIGNON,BOULOGNE-SUR-MER,COUTANCES
302,LIMOGES,4,TOURS,ORLEANS,POITIERS,LIMOGES,PAU,TOULOUSE
303,DUNKERQUE,1,DUNKERQUE,CAEN,STRASBOURG,NANCY,ROUEN,BOULOGNE-SUR-MER
